,Brand,Model,year,Owners,Transmission,Variant,Mileage,Fuel,Price
161,Maruti Suzuki,Swift,2016,1st,Manual,VVT VXI,47000.0 km,Petrol,"₹ 4,55,000"
162,Maruti Suzuki,Wagon R,2018,1st,Automatic,AMT VXI,46829.0 km,Petrol,"₹ 4,50,000"
163,Maruti Suzuki,Alto,2006,3rd,Manual,2005-2010 LX BSIII,"58,230 km",Petrol,"₹ 95,000"
164,Renault,Lodgy,2017,1st,Manual,85PS RxE,"75,000 km",Diesel,"₹ 5,10,000"
165,Ford,Ecosport,2014,2nd,Automatic,2013-2015 1.5 Ti VCT MT Titanium,"33,000 km",Petrol,"₹ 4,60,000"
166,Mercedes-Benz,GLC Class,2018,1st,Automatic,300 4MATIC,18000.0 km,Diesel,"₹ 47,50,000"
167,Maruti Suzuki,Ignis,2017,1st,Manual,1.3 Alpha,"140,000 km",Petrol,"₹ 5,00,000"
168,Hyundai,i20,2018,1st,Manual,Petrol Asta,"33,000 km",Petrol,"₹ 6,50,000"
169,Hyundai,i20 Active,2015,1st,Manual,S Diesel,"74,000 km",Diesel,"₹ 5,85,000"
170,Other Brands,Others,2004,4+,Automatic,,"100,000 km",Diesel,"₹ 48,000"
171,Skoda,Superb,2016,1st,Automatic,L&K 1.8 TSI AT,46000.0 km,Petrol,"₹ 14,45,000"
172,Toyota,Fortuner,2010,1st,Manual,2011-2016 4x4 AT,166000.0 km,Diesel,"₹ 11,80,000"
173,Maruti Suzuki,Wagon R 1.0,2011,1st,Manual,Wagon R 1.0 LXi CNG,78000.0 km,CNG & Hybrids,"₹ 2,10,000"
174,Mahindra,XUV500,2012,2nd,Manual,W8 2WD,72000.0 km,Diesel,"₹ 5,00,000"
175,Ford,Figo,2014,1st,Manual,Duratorq ZXI 1.4,65000.0 km,Diesel,"₹ 1,80,000"
176,Mercedes-Benz,GL-Class,2016,1st,Automatic,350 CDI Blue Efficiency,67000.0 km,Diesel,"₹ 38,00,000"
